p,n,iter,lmbda,obj,cpdag,time
10,10,1,0.01,21.578511553299453,0,0.09625124931335449
10,10,1,0.01,21.578511553299453,0,0.10186004638671875
10,10,1,0.01,21.578511553299453,0,0.10240292549133301
10,10,1,0.01,21.578511553299453,0,0.09999728202819824
10,10,1,0.01,21.578511553299453,0,0.10307598114013672
10,10,1,0.01,21.578511553299453,0,0.09932780265808105
10,10,1,0.01,21.578511553299453,0,0.1155848503112793
10,10,1,0.01,21.578511553299453,0,0.11037230491638184
10,10,1,0.01,21.578511553299453,0,0.11221194267272949
10,10,1,0.01,21.578511553299453,0,0.11173677444458008
10,20,1,0.01,21.351146678901472,0,0.17518210411071777
10,20,1,0.01,21.351146678901472,0,0.17392897605895996
10,20,1,0.01,21.351146678901472,0,0.18010187149047852
10,20,1,0.01,21.351146678901472,0,0.17367005348205566
10,20,1,0.01,21.351146678901472,0,0.1786649227142334
10,20,1,0.01,21.351146678901472,0,0.188187837600708
10,20,1,0.01,21.351146678901472,0,0.17366409301757812
10,20,1,0.01,21.351146678901472,0,0.17448806762695312
10,20,1,0.01,21.351146678901472,0,0.17814898490905762
10,20,1,0.01,21.351146678901472,0,0.17607808113098145
10,50,1,0.01,21.29485839219041,2,0.12951874732971191
10,50,1,0.01,21.29485839219041,2,0.12122201919555664
10,50,1,0.01,21.29485839219041,2,0.1283121109008789
10,50,1,0.01,21.29485839219041,2,0.12809419631958008
10,50,1,0.01,21.29485839219041,2,0.12985587120056152
10,50,1,0.01,21.29485839219041,2,0.12935996055603027
10,50,1,0.01,21.29485839219041,2,0.12259602546691895
10,50,1,0.01,21.29485839219041,2,0.12053108215332031
10,50,1,0.01,21.29485839219041,2,0.12233400344848633
10,50,1,0.01,21.29485839219041,2,0.1661996841430664
10,100,1,0.01,21.249302604786507,0,0.10316872596740723
10,100,1,0.01,21.249302604786507,0,0.10116410255432129
10,100,1,0.01,21.249302604786507,0,0.11163783073425293
10,100,1,0.01,21.249302604786507,0,0.09819412231445312
10,100,1,0.01,21.249302604786507,0,0.0999608039855957
10,100,1,0.01,21.249302604786507,0,0.0989990234375
10,100,1,0.01,21.249302604786507,0,0.09135174751281738
10,100,1,0.01,21.249302604786507,0,0.08697009086608887
10,100,1,0.01,21.249302604786507,0,0.09013605117797852
10,100,1,0.01,21.249302604786507,0,0.08748126029968262
10,200,1,0.01,21.06575801827539,0,0.16774988174438477
10,200,1,0.01,21.06575801827539,0,0.16990900039672852
10,200,1,0.01,21.06575801827539,0,0.17072606086730957
10,200,1,0.01,21.06575801827539,0,0.17102408409118652
10,200,1,0.01,21.06575801827539,0,0.17052912712097168
10,200,1,0.01,21.06575801827539,0,0.17074012756347656
10,200,1,0.01,21.06575801827539,0,0.16976308822631836
10,200,1,0.01,21.06575801827539,0,0.17026710510253906
10,200,1,0.01,21.06575801827539,0,0.17941999435424805
10,200,1,0.01,21.06575801827539,0,0.17280197143554688
